#pdb	r	dot1	dot2	dot3
00000cam	29.515	-0.667	0.158	0.106
00001cam	35.528	0.754	0.223	0.047
00002cam	34.796	-0.117	-0.079	0.962
00003cam	32.122	-0.524	-0.310	0.782
00004cam	30.347	-0.447	-0.400	-0.947
00005cam	26.856	-0.190	0.546	0.643
00006cam	27.220	-0.397	0.310	-0.782
00007cam	26.338	0.759	-0.958	0.739
00008cam	30.152	-0.986	0.915	-0.928
00009cam	31.060	0.939	0.542	-0.498
00010cam	20.328	0.490	-0.052	-0.290
00011cam	30.548	-0.592	-0.337	0.740
00012cam	36.271	-0.154	-0.960	-0.191
00013cam	40.027	-0.622	0.825	-0.479
00014cam	29.740	-0.022	0.139	0.212
00015cam	32.176	-0.937	-0.455	0.404
00016cam	38.993	-0.166	-0.221	-0.393
00017cam	29.415	-0.924	0.627	-0.696
00018cam	28.689	-0.549	0.287	-0.713
00019cam	24.786	0.002	-0.097	-0.802
00020cam	29.253	-0.209	0.208	0.526
00021cam	35.155	-0.697	-0.326	0.057
00022cam	29.658	0.273	0.933	0.269
00023cam	40.728	-0.975	0.778	-0.803
00024cam	28.235	-0.299	0.256	0.411
00025cam	26.753	-0.128	0.061	-0.837
00026cam	31.379	0.519	-0.223	0.062
00027cam	29.344	0.164	0.466	-0.288
00028cam	41.901	-0.156	0.421	0.697
00029cam	28.619	0.112	-0.158	0.506
00030cam	25.781	-0.412	-0.211	-0.190
00031cam	32.522	-0.944	0.751	-0.784
00032cam	32.525	0.107	-0.074	-0.840
00033cam	31.449	0.220	-0.197	-0.517
00034cam	37.660	-0.286	-0.505	-0.161
00035cam	27.182	-0.189	0.727	-0.458
00036cam	30.220	-0.930	0.922	0.982
00037cam	34.873	0.280	0.574	-0.004
00038cam	28.229	-0.315	0.358	0.254
00039cam	42.175	-0.529	0.280	0.449
00040cam	34.757	0.189	0.872	0.066
00041cam	40.155	-0.862	-0.232	0.099
00042cam	26.017	0.830	-0.798	-0.630
00043cam	33.877	-0.275	-0.264	0.418
00044cam	28.730	-0.095	-0.223	0.782
00045cam	26.208	0.848	-0.400	0.552
00046cam	30.154	-0.070	0.315	0.391
00047cam	39.433	0.514	-0.584	0.650
00048cam	33.642	-0.469	0.982	0.457
00049cam	30.881	-0.316	0.269	0.163
00050cam	35.119	0.423	-0.406	-0.294
00051cam	44.855	-0.828	-0.960	-0.833
00052cam	29.099	-0.522	-0.561	0.954
00053cam	37.226	0.341	0.628	-0.003
00054cam	37.243	-0.405	-0.566	-0.560
00055cam	40.908	0.034	0.578	-0.086
00056cam	25.630	-0.406	-0.008	-0.407
00057cam	37.452	-0.861	0.522	-0.627
00058cam	28.729	-0.406	0.331	0.222
00059cam	35.542	-0.635	-0.601	0.518
00060cam	32.734	-0.368	0.827	0.318
00061cam	29.645	0.899	-0.734	0.715
00062cam	25.883	-0.517	0.555	-0.878
00063cam	36.268	-0.503	0.844	-0.357
00064cam	31.096	0.666	0.944	0.716
00065cam	32.565	-0.711	0.878	-0.607
00066cam	27.644	0.978	-0.703	0.686
00067cam	31.335	0.704	0.059	-0.212
00068cam	27.363	0.630	-0.034	-0.223
00069cam	31.888	-0.063	0.325	0.394
00070cam	31.081	-0.270	0.214	0.839
00071cam	25.342	-0.106	0.311	-0.749
00072cam	35.477	-0.073	0.814	-0.258
00073cam	27.091	0.348	-0.046	-0.532
00074cam	34.472	0.779	0.203	-0.205
00075cam	33.767	0.195	-0.181	0.216
00076cam	30.202	-0.807	0.199	-0.281
00077cam	26.829	0.916	0.970	0.939
00078cam	43.233	-0.355	0.071	0.634
00079cam	32.947	0.168	-0.365	-0.383
00080cam	25.239	-0.631	0.236	-0.463
00081cam	33.982	-0.715	0.456	-0.698
00082cam	33.349	0.662	0.869	0.786
00083cam	33.936	0.456	-0.272	0.342
00084cam	31.513	-0.124	0.780	-0.131
00085cam	26.993	0.956	-0.178	0.220
00086cam	40.191	0.194	0.635	-0.066
00087cam	34.149	0.461	-0.375	-0.209
00088cam	42.522	-0.479	-0.007	0.496
00089cam	36.820	-0.689	0.634	-0.352
00090cam	33.221	-0.911	-0.113	0.126
00091cam	34.433	-0.858	0.954	0.831
00092cam	32.215	-0.763	-0.320	-0.091
00093cam	33.909	-0.767	-0.838	0.915
00094cam	22.856	0.711	0.819	-0.859
00095cam	30.511	0.352	-0.641	0.448
00096cam	32.403	-0.759	0.306	0.081
00097cam	27.054	0.771	0.449	-0.393
00098cam	31.053	0.644	0.685	-0.957
00099cam	36.057	0.824	0.654	-0.570
